iter	Passed	Remaining
0	146	146382
1	179	89727
2	211	70300
3	230	57291
4	251	49982
5	278	46088
6	295	41858
7	311	38590
8	328	36204
9	345	34193
10	363	32678
11	381	31388
12	398	30284
13	419	29556
14	434	28499
15	447	27532
16	492	28484
17	522	28499
18	541	27960
19	559	27391
20	581	27130
21	601	26749
22	620	26378
23	635	25853
24	648	25284
25	660	24757
26	688	24820
27	703	24411
28	719	24090
29	738	23892
30	757	23671
31	774	23442
32	795	23322
33	811	23060
34	843	23250
35	907	24306
36	956	24893
37	985	24961
38	1021	25168
39	1042	25015
40	1056	24713
41	1073	24489
42	1091	24284
43	1116	24261
44	1133	24064
45	1166	24192
46	1189	24111
47	1213	24077
48	1230	23874
49	1245	23665
50	1266	23567
51	1290	23535
52	1306	23349
53	1328	23279
54	1349	23180
55	1370	23097
56	1392	23044
57	1411	22922
58	1435	22901
59	1452	22760
60	1468	22603
61	1481	22421
62	1496	22262
63	1512	22121
64	1530	22020
65	1545	21869
66	1561	21750
67	1578	21631
68	1593	21506
69	1609	21379
70	1651	21606
71	1691	21802
72	1715	21787
73	1755	21964
74	1786	22030
75	1815	22077
76	1850	22186
77	1877	22195
78	1905	22212
79	1923	22123
80	1942	22039
81	1959	21934
82	1979	21865
83	1997	21781
84	2012	21668
85	2028	21563
86	2045	21470
87	2070	21453
88	2090	21394
89	2108	21319
90	2125	21229
91	2160	21324
92	2177	21240
93	2197	21181
94	2213	21085
95	2232	21021
96	2255	20992
97	2274	20936
98	2291	20856
99	2307	20771
100	2323	20682
101	2341	20615
102	2364	20589
103	2382	20525
104	2403	20484
105	2420	20410
106	2430	20285
107	2444	20188
108	2462	20127
109	2477	20048
110	2492	19965
111	2507	19879
112	2522	19799
113	2546	19787
114	2564	19734
115	2582	19678
116	2596	19593
117	2612	19527
118	2626	19447
119	2641	19373
120	2658	19312
121	2676	19262
122	2691	19188
123	2706	19117
124	2736	19158
125	2786	19330
126	2807	19298
127	2829	19279
128	2848	19234
129	2867	19193
130	2890	19174
131	2909	19133
132	2933	19119
133	2948	19054
134	2964	18996
135	2989	18990
136	3015	18993
137	3034	18954
138	3053	18912
139	3071	18870
140	3092	18842
141	3122	18865
142	3146	18855
143	3164	18812
144	3212	18943
145	3227	18875
146	3243	18819
147	3260	18767
148	3278	18725
149	3301	18706
150	3320	18670
151	3341	18640
152	3358	18595
153	3378	18561
154	3403	18555
155	3428	18549
156	3453	18542
157	3470	18492
158	3486	18442
159	3501	18380
160	3519	18338
161	3530	18264
162	3546	18211
163	3562	18159
